PC1,PC2,Label
-9.627052,0.025166262,0
4.7696414,-2.3078318,0
3.5233545,-0.27817172,0
-13.811912,9.559272,0
-10.931583,-2.0787704,0
-27.192636,6.482109,0
-34.98023,-1.2464706,0
-34.64519,-4.6220613,0
-8.721155,-28.645489,0
-8.330563,-28.867016,0
-7.0568705,14.223968,0
-6.685474,2.041732,0
-2.1918652,-13.868342,0
0.48011017,-19.51711,0
-5.5879297,21.66396,0
-11.234285,17.283384,0
-7.276143,9.385613,0
-5.604048,-6.0362663,0
1.011013,-18.552294,0
-13.681393,11.606745,0
-14.31653,15.91266,0
-12.038142,-21.795362,0
-12.501672,-7.3706517,0
-15.110473,23.44149,0
-14.34998,12.698361,0
-26.74893,-6.918743,0
-26.474966,-8.295797,0
5.2023335,30.010164,0
5.090167,31.35505,0
-4.1999817,-3.3904793,0
-2.7692683,-12.389098,0
-5.032604,12.640708,0
-2.9304316,-4.220889,0
-4.590702,3.7453897,0
7.134545,8.720298,0
6.1836853,-3.7822428,0
5.2191906,17.865164,0
5.0201015,6.3224826,0
-15.038981,-23.021631,0
-13.021743,-0.84570456,0
-20.487356,-4.1989865,1
40.029514,-4.5741534,1
25.107092,-5.1302395,1
24.341673,2.865234,1
-12.264834,17.537514,1
-14.153792,-11.607015,1
-14.677421,-4.4872127,1
-10.697183,5.0210238,1
-10.601947,0.116649605,1
-10.054172,4.6173573,1
17.53325,8.268662,1
22.621176,-6.124667,1
24.33692,4.1571193,1
25.049248,2.50989,1
-0.61624146,-11.103426,1
16.574207,2.2607412,1
5.0292296,3.0930636,1
28.366566,-1.6477318,1
30.497713,-0.071352944,1
-7.1743827,-11.376778,1
9.075815,-4.3073125,1
-2.4551811,11.209013,1
-2.391364,-7.958674,1
-1.9948236,3.1186159,1
22.522985,-6.9411902,1
24.464685,-4.0124316,1
20.043339,-9.26442,1
24.30246,2.954549,1
-2.0786774,-8.50765,1
14.950263,-8.343565,1
17.6454,7.3206515,1
18.327122,5.4975576,1
9.697554,9.233528,1
7.3992887,-8.370953,1
4.3005333,-7.566228,1
-7.0286617,6.456106,1
-8.196719,-2.2529404,1
-4.260967,-1.2995172,1
-2.8419225,4.229688,1
32.807896,-8.2537365,1
