PC1,PC2,Label
1.4868646,-2.0550332,0
0.6668424,-3.988725,0
1.5980387,-3.2701106,0
3.5675068,-0.9202446,0
1.0850506,-2.691608,0
-1.151161,0.08380919,0
-1.9123633,0.060125683,0
-2.0157413,0.01273587,0
-0.28275824,-4.013173,0
-0.40541872,-4.0627694,0
2.7988632,-1.2968184,0
-2.42287,-2.7949812,0
2.3950052,-3.9009233,0
-1.1083412,-5.1575575,0
0.6587921,0.40516853,0
0.50732267,0.28644845,0
2.4504285,-1.5152087,0
-2.1837745,-2.980896,0
-0.7008832,-4.015349,0
-0.7686598,0.90823483,0
1.2943459,0.42287233,0
-1.7587957,-3.5966778,0
2.6054382,-2.2785237,0
1.961328,0.00038368162,0
-0.2098754,1.0398442,0
-1.4295577,-0.54899466,0
-1.5265614,-0.5617437,0
0.91717887,2.0858293,0
0.9519532,2.0665874,0
2.7020185,-2.906333,0
-1.7939873,-4.353545,0
2.8154764,-1.0314022,0
1.6838726,-2.7310221,0
1.3952222,-2.2618256,0
3.7011802,-2.2914472,0
-2.964182,-3.8634498,0
3.7678523,-2.1620398,0
-3.0879202,-3.8327487,0
-0.671342,-3.3420482,0
-1.3056707,-1.3875486,0
-2.4919784,1.0470997,1
1.3519068,-8.80692,1
0.8599003,-8.753389,1
3.9842665,-6.927172,1
2.6163335,1.3014659,1
-2.6317465,-1.217866,1
2.791456,1.354551,1
0.7799274,-1.2004832,1
-0.540274,-1.5006915,1
0.4689384,-0.39166525,1
1.5693755,-7.463493,1
2.8089564,-6.9776826,1
2.5804656,-7.245683,1
2.02179,-7.4809065,1
1.7906235,-4.2612724,1
0.11287831,-7.891502,1
0.81469893,-5.7187734,1
3.7592123,-7.0432515,1
1.128066,-8.515774,1
-1.2973124,-2.297936,1
0.3789608,-6.832088,1
1.9825716,-1.0638897,1
-3.1428924,-2.8381834,1
4.142217,-1.5447012,1
3.374649,-6.487048,1
0.8721407,-7.776147,1
3.9385045,-6.1335583,1
0.48004442,-8.625185,1
-0.69397956,-2.550677,1
2.7715437,-6.15205,1
2.205843,-6.723114,1
1.4938014,-6.775805,1
-0.46220246,-7.976341,1
-0.69333416,-7.1973114,1
3.3956816,-4.731679,1
-0.1376476,-0.7404676,1
-0.50163263,-1.125029,1
0.16426544,-1.7317476,1
0.28583133,-1.6042004,1
1.726514,-8.449393,1
